employer,submit date,start date,case status,job title,base salary,salary to,city,state
american legalnet inc,7/10/2013,8/1/2013,certified,software,80000,,encino,ca
comscore inc,2/19/2014,8/17/2014,certified,software   engineer,70000,,chicago,il
first tier technology llc,3/27/2013,9/26/2013,certified,software  (qlikview) developer,66500,76500,princeton,nj
techorbit inc,3/20/2014,5/25/2014,certified,"software  applications, developer",89000,,sterling,va
idhasoft inc,9/30/2014,9/30/2014,certified,software  architect,60000,90000,atlanta,ga
idhasoft inc,10/2/2014,1/1/2015,withdrawn,software  architect,60000,90000,alpharetta,ga
idhasoft inc,10/3/2014,1/1/2015,certified,software  architect,60000,90000,alpharetta,ga
idhasoft inc,10/3/2014,1/1/2015,certified,software  architect,60000,90000,atlanta,ga
idhasoft inc,10/3/2014,1/1/2015,certified,software  architect,60000,90000,atlanta,ga
sysmind llc,3/7/2013,9/1/2013,certified,software  developer,45,,greenwood village,co
social solutions com inc,3/14/2014,9/1/2014,certified,software  developer,50461,,seattle,wa
ecom solutions inc,3/22/2013,9/21/2013,certified,software  developer,60650,,edison,nj
vedicsoft,8/12/2014,2/1/2015,certified,software  developer,61422.4,,chicago,il
cml media corp,3/4/2013,9/1/2013,certified,software  developer,63000,,los angeles,ca
east west systems inc,12/23/2013,1/6/2014,certified,software  developer,69077,,bethpage,ny
east west systems inc,12/23/2013,1/6/2014,certified,software  developer,69077,,bethpage,ny
sky technologies llc,3/31/2014,9/30/2014,certified,software  developer,69680,75000,alexandria,va
redsalsa technologies inc,2/22/2013,3/1/2013,certified,software  developer,75000,,dallas,tx
east west systems inc,11/25/2013,12/16/2013,certified,software  developer,110000,,bethpage,ny
applexus technologies llc,9/20/2013,9/23/2013,certified,"software  developer, applications (software engine",72000,,long beach,ca
compusight corporation,3/13/2014,9/12/2014,certified,software  developers,79664,,seattle,wa
skmstech,3/21/2013,9/1/2013,certified,software  dveloper,60000,,austin,tx
revolution staffing inc,4/1/2014,4/1/2014,certified,software  engineer,35.09,,new york,ny
yiyelim foods llc,4/3/2014,9/30/2014,certified,software  engineer,60403,,piscataway,nj
tavant technologies inc,3/15/2014,9/10/2014,certified,software  engineer,61000,,davidson,nc
tavant technologies inc,3/17/2014,9/10/2014,certified,software  engineer,61000,,davidson,nc
aries computer systems inc,10/22/2014,10/22/2014,certified,software  engineer,61422,,omaha,ne
aries computer systems inc,10/28/2014,10/28/2014,certified,software  engineer,61422,,santa fe,nm
aries computer systems inc,11/10/2014,11/10/2014,certified,software  engineer,62421,,columbus,oh
halcyon virtual technology group llc,9/15/2014,10/10/2014,certified,software  engineer,63000,,atlanta,ga
niche technologies llc,5/1/2014,5/1/2014,certified,software  engineer,65000,,johns creek,ga
aries computer systems inc,11/12/2014,11/12/2014,certified,software  engineer,65229,,austin,tx
agreeya solutions inc,6/7/2013,6/10/2013,certified,software  engineer,65790,,walnut creek,ca
mncl inc,9/17/2014,1/26/2015,certified,software  engineer,67000,,portland,or
aries computer systems inc,10/14/2014,10/14/2014,certified,software  engineer,68286,,rockville,md
aries computer systems inc,10/14/2014,10/14/2014,certified,software  engineer,68286,,rockville,md
tavant technologies inc,3/17/2014,9/10/2014,certified,software  engineer,69000,,shoreview,mn
aries computer systems inc,11/18/2014,11/18/2014,certified,software  engineer,69576,,parsippany,nj
aries computer systems inc,11/10/2014,11/10/2014,certified,software  engineer,71614,,reston,va
axios international inc,3/13/2014,10/1/2014,denied,software  engineer,73000,,plumas lake,ca
axios international inc,3/18/2014,9/1/2014,certified,software  engineer,73000,,plumas lake,ca
axios international inc,3/21/2014,9/15/2014,certified,software  engineer,73000,,plumas lake,ca
aries computer systems inc,9/16/2014,9/16/2014,certified,software  engineer,73445,,new york,ny
nana development corporation,6/20/2013,7/1/2013,certified,software  engineer,74500,78000,anchorage,ak
the dei group,10/28/2013,10/28/2013,certified,software  engineer,75000,,millersville,md
xinthe technologies pvt lt,1/7/2014,1/14/2014,certified,software  engineer,76000,,woburn,ma
intel corporation,3/17/2014,9/13/2014,certified,software  engineer,78473,96400,hillsboro,or
tavant technologies inc,7/18/2014,7/18/2014,certified,software  engineer,79950,,atlanta,ga
rapidit inc,6/13/2014,6/16/2014,certified,software  engineer,80000,,charlotte,nc
miracle software sysytems inc,9/12/2013,9/12/2013,certified,software  engineer,81000,,novi,mi
qualcomm technologies inc,1/24/2013,7/8/2013,certified,software  engineer,83075.2,100300,san diego,ca
qualcomm technologies inc,1/24/2013,7/8/2013,certified,software  engineer,83075.2,100300,san diego,ca
qualcomm atheros inc,1/24/2013,7/8/2013,certified,software  engineer,83075.2,100300,san diego,ca
accelops inc,3/13/2014,9/12/2014,certified,software  engineer,85000,,santa clara,ca
accelops inc,3/24/2014,9/12/2014,certified,software  engineer,85000,,santa clara,ca
telecommunication systems inc,6/26/2013,12/23/2013,certified,software  engineer,85981.92,,annapolis,md
dstillery inc,4/25/2014,4/25/2014,certified,software  engineer,95000,,new york,ny
mncl inc,10/8/2014,10/8/2014,certified,software  engineer,100000,,irving,tx
kla-tencor corporation,6/26/2013,12/1/2013,certified,software  engineer,109138,,milpitas,ca
grubhub inc,9/16/2014,9/16/2014,certified,software  engineer,110000,,new york,ny
satyam computer services ltd,9/26/2013,11/12/2013,certified,software  engineer,110094,,sunnyvale,ca
grubhub inc,4/22/2014,4/22/2014,certified,software  engineer,115000,,new york,ny
accelops inc,7/14/2014,11/1/2014,certified,software  engineer,115000,,santa clara,ca
grubhub inc,4/22/2014,4/22/2014,certified,software  engineer,120000,,chicago,il
nextag inc,1/8/2013,1/15/2013,certified,software  engineer,120000,,san mateo,ca
grubhub inc,4/22/2014,4/22/2014,certified,software  engineer,125000,,new york,ny
google inc,2/12/2013,8/1/2013,certified,software  engineer,127000,,mountain view,ca
facebook inc,10/18/2013,11/25/2013,certified,software  engineer,135000,,menlo park,ca
